layer,co2_uit,ch4_uit,n2o_uit,co2_in
panden_peat,1.025,0.0,0,0
overig_groen_peat,1.025,0.0,0,0
percelen_peat,1.025,0.0,0,0
openbare_ruimte_peat,1.025,0.0,0,0
grote_wateren_peat,0.0,0.0,0,0
erven_peat,1.025,0.0,0,0
overig_peat,1.025,0.0,0,0
sloten_peat,0.0,0.0518,0,0
stedelijk_groen_peat,1.025,0.0,0,0
panden_moerig,1.236,0.0,0,0
overig_groen_moerig,1.236,0.0,0,0
percelen_moerig,1.236,0.0,0,0
openbare_ruimte_moerig,1.236,0.0,0,0
grote_wateren_moerig,0.0,0.0,0,0
erven_moerig,1.236,0.0,0,0
overig_moerig,1.236,0.0,0,0
sloten_moerig,0.0,0.0,0,0
stedelijk_groen_moerig,1.236,0.0,0,0
panden_buried,0.0,0.0,0,0
overig_groen_buried,0.0,0.0,0,0
percelen_buried,0.0,0.0,0,0
openbare_ruimte_buried,0.0,0.0,0,0
grote_wateren_buried,0.0,0.0,0,0
erven_buried,0.0,0.0,0,0
overig_buried,0.0,0.0,0,0
sloten_buried,0.0,0.0,0,0
stedelijk_groen_buried,0.0,0.0,0,0
panden_other,0.0,0.0,0,0
overig_groen_other,0.0,0.0,0,0
percelen_other,0.0,0.0,0,0
openbare_ruimte_other,0.0,0.0,0,0
grote_wateren_other,0.0,0.0,0,0
erven_other,0.0,0.0,0,0
overig_other,0.0,0.0,0,0
sloten_other,0.0,0.0,0,0
stedelijk_groen_other,0.0,0.0,0,0
